|  time  |reset|ARegister[0] |DRegister[0] |  PC[]  |RAM16K[16] |RAM16K[17] |RAM16K[18] |RAM16K[19] |
|  0     |  0  |         0   |         0   |     0  |        0  |        0  |        0  |        0  |
|  1     |  0  |        16   |         0   |     1  |        5  |        3  |        1  |        0  |
|  2     |  0  |        16   |         5   |     2  |        5  |        3  |        1  |        0  |
|  3     |  0  |        17   |         5   |     3  |        5  |        3  |        1  |        0  |
|  4     |  0  |        17   |         8   |     4  |        5  |        3  |        1  |        0  |
|  5     |  0  |        18   |         8   |     5  |        5  |        3  |        1  |        0  |
|  6     |  0  |        18   |         7   |     6  |        5  |        3  |        1  |        0  |
|  7     |  0  |        19   |         7   |     7  |        5  |        3  |        1  |        0  |
|  8     |  0  |        19   |         7   |     8  |        5  |        3  |        1  |        7  |
|  9     |  1  |         0   |         7   |     0  |        5  |        3  |        1  |        7  |
|  10    |  0  |        16   |         7   |     1  |       20  |        9  |       27  |        7  |
|  11    |  0  |        16   |        20   |     2  |       20  |        9  |       27  |        7  |
|  12    |  0  |        17   |        20   |     3  |       20  |        9  |       27  |        7  |
|  13    |  0  |        17   |        29   |     4  |       20  |        9  |       27  |        7  |
|  14    |  0  |        18   |        29   |     5  |       20  |        9  |       27  |        7  |
|  15    |  0  |        18   |         2   |     6  |       20  |        9  |       27  |        7  |
|  16    |  0  |        19   |         2   |     7  |       20  |        9  |       27  |        7  |
|  17    |  0  |        19   |         2   |     8  |       20  |        9  |       27  |        2  |
