|  time  |reset|ARegister[0] |DRegister[0] |  PC[]  |RAM16K[16] |RAM16K[17] |RAM16K[18] |
|  0     |  0  |         0   |         0   |     0  |        0  |        0  |        0  |
|  1     |  0  |        16   |         0   |     1  |        5  |        3  |        0  |
|  2     |  0  |        16   |         5   |     2  |        5  |        3  |        0  |
|  3     |  0  |        17   |         5   |     3  |        5  |        3  |        0  |
|  4     |  0  |        17   |         2   |     4  |        5  |        3  |        0  |
|  5     |  0  |        10   |         2   |     5  |        5  |        3  |        0  |
|  6     |  0  |        10   |         2   |    10  |        5  |        3  |        0  |
|  7     |  0  |        18   |         2   |    11  |        5  |        3  |        0  |
|  8     |  0  |        18   |         2   |    12  |        5  |        3  |        2  |
|  9     |  0  |         0   |         2   |    13  |        5  |        3  |        2  |
|  10    |  0  |         0   |         2   |    14  |        5  |        3  |        2  |
|  11    |  0  |         0   |         2   |    15  |        5  |        3  |        2  |
|  12    |  0  |         0   |         2   |    16  |        5  |        3  |        2  |
|  13    |  1  |         0   |         2   |     0  |        5  |        3  |        2  |
|  14    |  0  |        16   |         2   |     1  |        4  |        5  |        2  |
|  15    |  0  |        16   |         4   |     2  |        4  |        5  |        2  |
|  16    |  0  |        17   |         4   |     3  |        4  |        5  |        2  |
|  17    |  0  |        17   |        -1   |     4  |        4  |        5  |        2  |
|  18    |  0  |        10   |        -1   |     5  |        4  |        5  |        2  |
|  19    |  0  |        10   |        -1   |     6  |        4  |        5  |        2  |
|  20    |  0  |        17   |        -1   |     7  |        4  |        5  |        2  |
|  21    |  0  |        17   |         5   |     8  |        4  |        5  |        2  |
|  22    |  0  |        16   |         5   |     9  |        4  |        5  |        2  |
|  23    |  0  |        16   |         1   |    10  |        4  |        5  |        2  |
|  24    |  0  |        18   |         1   |    11  |        4  |        5  |        2  |
|  25    |  0  |        18   |         1   |    12  |        4  |        5  |        1  |
